# Spherical Bessel functions via up and down recursion, l = 10
#   x       jdown(x)      jup(x)         rel. error          log10(x)    log10(rel.err.)   Bessel GSL Routuine
7.10000000 7.49655569e-03 7.49655569e-03  7.75199156e-15  8.51258349e-01  -1.41105867e+01  7.49655569e-03
7.20000000 8.33020179e-03 8.33020179e-03  2.18657326e-14  8.57332496e-01  -1.36602360e+01  8.33020179e-03
7.30000000 9.23319339e-03 9.23319339e-03  6.29394772e-15  8.63322860e-01  -1.42010769e+01  9.23319339e-03
7.40000000 1.02087141e-02 1.02087141e-02  8.92110229e-15  8.69231720e-01  -1.40495815e+01  1.02087141e-02
7.50000000 1.12598309e-02 1.12598309e-02  1.77172465e-15  8.75061263e-01  -1.47516038e+01  1.12598309e-02
7.60000000 1.23894625e-02 1.23894625e-02  3.92044911e-15  8.80813592e-01  -1.44066642e+01  1.23894625e-02
7.70000000 1.36003457e-02 1.36003457e-02  9.69379656e-15  8.86490725e-01  -1.40135061e+01  1.36003457e-02
7.80000000 1.48950009e-02 1.48950009e-02  4.25091663e-15  8.92094603e-01  -1.43715174e+01  1.48950009e-02
7.90000000 1.62756965e-02 1.62756965e-02  1.01254487e-14  8.97627091e-01  -1.39945857e+01  1.62756965e-02
8.00000000 1.77444126e-02 1.77444126e-02  2.05299515e-15  9.03089987e-01  -1.46876121e+01  1.77444126e-02
8.10000000 1.93028038e-02 1.93028038e-02  5.75161535e-15  9.08485019e-01  -1.42402102e+01  1.93028038e-02
8.20000000 2.09521620e-02 2.09521620e-02  2.56662906e-15  9.13813852e-01  -1.45906369e+01  2.09521620e-02
8.30000000 2.26933794e-02 2.26933794e-02  1.52883662e-15  9.19078092e-01  -1.48156389e+01  2.26933794e-02
8.40000000 2.45269114e-02 2.45269114e-02  1.83891113e-15  9.24279286e-01  -1.47354393e+01  2.45269114e-02
8.50000000 2.64527406e-02 2.64527406e-02  2.95101962e-15  9.29418926e-01  -1.45300279e+01  2.64527406e-02
8.60000000 2.84703415e-02 2.84703415e-02  2.43723593e-16  9.34498451e-01  -1.56131024e+01  2.84703415e-02
8.70000000 3.05786469e-02 3.05786469e-02  3.40379380e-16  9.39519253e-01  -1.54680368e+01  3.05786469e-02
